attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
0,2,brezepr01,10,0,13,0,Primož Brezec,59,2,[<Position.CENTER: 'CENTER'>],7,0,30,0,Team.MILWAUKEE_BUCKS,14,4,14,1,6,7
0,5,brockjo01,115,0,103,37,Jon Brockman,654,23,[<Position.POWER_FORWARD: 'POWER FORWARD'>],55,4,22,15,Team.SACRAMENTO_KINGS,147,62,52,22,105,108
525,14,brookaa01,199,209,1331,245,Aaron Brooks,2919,232,[<Position.POINT_GUARD: 'POINT GUARD'>],575,82,25,69,Team.HOUSTON_ROCKETS,1604,298,82,434,54,161
66,1,brownbo02,28,17,152,8,Bobby Brown,328,24,[<Position.POINT_GUARD: 'POINT GUARD'>],60,0,25,9,Team.NEW_ORLEANS_HORNETS,145,8,22,46,1,17
32,0,brownbo02,14,9,85,5,Bobby Brown,191,22,[<Position.POINT_GUARD: 'POINT GUARD'>],28,0,25,6,Team.LOS_ANGELES_CLIPPERS,70,7,23,42,8,12
7,10,brownde04,53,2,147,48,Derrick Brown,535,19,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],68,0,22,21,Team.CHARLOTTE_BOBCATS,186,72,57,19,31,47
147,5,brownde02,62,54,325,69,Devin Brown,967,57,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],128,37,31,30,Team.NEW_ORLEANS_HORNETS,379,86,39,58,27,82
17,1,brownde02,10,4,36,0,Devin Brown,93,5,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8,0,31,3,Team.CHICAGO_BULLS,20,0,11,7,2,13
1,12,brownkw01,93,0,124,33,Kwame Brown,660,43,[<Position.CENTER: 'CENTER'>],62,1,27,15,Team.DETROIT_PISTONS,157,98,48,22,53,124
189,31,brownsh01,129,62,592,99,Shannon Brown,1700,67,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],253,7,24,57,Team.LOS_ANGELES_LAKERS,667,121,82,108,30,153
301,20,bryanko01,187,99,1569,439,Kobe Bryant,2835,233,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],716,73,31,113,Team.LOS_ANGELES_LAKERS,1970,541,73,365,78,313
249,11,budinch01,85,92,565,67,Chase Budinger,1488,48,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],249,4,21,34,Team.HOUSTON_ROCKETS,657,87,74,88,38,182
95,15,butleca01,126,25,694,185,Caron Butler,1853,113,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],293,47,29,68,Team.WASHINGTON_WIZARDS,796,211,47,107,68,248
50,9,butleca01,67,17,357,79,Caron Butler,930,47,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],157,27,29,48,Team.DALLAS_MAVERICKS,410,104,27,49,36,109
432,68,butlera01,121,145,870,122,Rasual Butler,2702,79,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],356,64,30,36,Team.LOS_ANGELES_CLIPPERS,979,145,82,116,39,201
1,94,bynuman01,193,0,688,193,Andrew Bynum,1977,115,[<Position.CENTER: 'CENTER'>],392,65,22,35,Team.LOS_ANGELES_LAKERS,977,261,65,68,177,364
55,7,bynumwi01,143,12,534,142,Will Bynum,1667,115,[<Position.POINT_GUARD: 'POINT GUARD'>],237,20,27,55,Team.DETROIT_PISTONS,628,178,63,283,24,118
171,7,caldejo01,135,68,568,83,José Calderón,1817,99,[<Position.POINT_GUARD: 'POINT GUARD'>],274,39,28,47,Team.TORONTO_RAPTORS,699,104,68,404,23,119
6,99,cambyma01,105,2,356,60,Marcus Camby,1596,64,[<Position.POWER_FORWARD: 'POWER FORWARD'>],166,51,35,69,Team.LOS_ANGELES_CLIPPERS,394,91,51,151,166,450
1,47,cambyma01,56,0,145,18,Marcus Camby,718,27,[<Position.CENTER: 'CENTER'>],72,23,35,26,Team.PORTLAND_TRAIL_BLAZERS,162,31,23,35,83,172
9,3,cardibr01,56,3,36,17,Brian Cardinal,267,7,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14,0,32,9,Team.MINNESOTA_TIMBERWOLVES,48,18,29,24,7,22
135,20,carnero01,79,41,282,52,Rodney Carney,857,21,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],113,0,25,25,Team.PHILADELPHIA_76ERS,319,63,68,37,26,111
6,9,carrode01,107,0,222,33,DeMarre Carroll,795,24,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],88,1,23,28,Team.MEMPHIS_GRIZZLIES,209,53,71,33,53,97
19,0,carroma01,13,4,50,6,Matt Carroll,121,7,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18,0,29,5,Team.DALLAS_MAVERICKS,46,6,25,6,4,8
63,13,cartean01,72,17,181,11,Anthony Carter,859,58,[<Position.POINT_GUARD: 'POINT GUARD'>],76,7,34,39,Team.DENVER_NUGGETS,180,13,54,160,17,72
324,18,cartevi01,189,119,1015,257,Vince Carter,2310,106,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],434,74,33,53,Team.ORLANDO_MAGIC,1244,306,75,236,33,260
203,17,casspom01,125,75,672,117,Omri Casspi,1931,98,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],300,31,21,54,Team.SACRAMENTO_KINGS,792,174,77,95,75,274
236,12,chalmma01,175,75,454,82,Mario Chalmers,1807,123,[<Position.POINT_GUARD: 'POINT GUARD'>],182,22,23,91,Team.MIAMI_HEAT,521,110,73,246,25,110
0,55,chandty01,138,0,190,115,Tyson Chandler,1163,91,[<Position.CENTER: 'CENTER'>],109,27,27,17,Team.CHARLOTTE_BOBCATS,333,157,51,16,114,206
150,49,chandwi01,184,40,860,129,Wilson Chandler,2320,108,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],412,64,22,46,Team.NEW_YORK_KNICKS,993,160,65,138,93,255
5,13,clarkea01,25,2,151,26,Earl Clark,383,23,[<Position.POWER_FORWARD: 'POWER FORWARD'>],56,0,22,7,Team.PHOENIX_SUNS,140,36,51,21,18,44
0,3,collija03,42,0,31,10,Jarron Collins,261,10,[<Position.CENTER: 'CENTER'>],12,10,31,2,Team.PHOENIX_SUNS,34,25,34,6,22,40
1,2,collija04,21,0,23,0,Jason Collins,115,5,[<Position.CENTER: 'CENTER'>],8,0,31,3,Team.ATLANTA_HAWKS,16,2,24,4,5,9
17,1,collima01,45,4,128,13,Mardy Collins,470,32,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],47,0,25,23,Team.LOS_ANGELES_CLIPPERS,111,21,43,44,13,37
115,4,collida01,92,46,789,148,Darren Collison,2109,202,[<Position.POINT_GUARD: 'POINT GUARD'>],376,37,22,78,Team.NEW_ORLEANS_HORNETS,946,174,76,432,41,151
4,48,collini01,230,1,309,74,Nick Collison,1557,63,[<Position.CENTER: 'CENTER'>],182,5,29,37,Team.OKLAHOMA_CITY_THUNDER,439,107,75,38,152,232
212,12,conlemi01,178,82,830,139,Mike Conley,2569,170,[<Position.POINT_GUARD: 'POINT GUARD'>],369,80,22,109,Team.MEMPHIS_GRIZZLIES,959,187,80,425,30,161
3,0,conrowi01,5,0,10,0,Will Conroy,36,4,[<Position.POINT_GUARD: 'POINT GUARD'>],3,0,27,0,Team.HOUSTON_ROCKETS,6,2,5,7,0,3
9,2,cookbr01,5,2,23,5,Brian Cook,44,6,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7,0,29,0,Team.HOUSTON_ROCKETS,21,7,15,1,1,8
126,10,cookda02,50,40,253,21,Daequan Cook,691,24,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],81,3,22,14,Team.MIAMI_HEAT,223,25,45,43,9,73
427,12,crawfja01,132,163,1105,270,Jamal Crawford,2460,137,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],496,0,29,61,Team.ATLANTA_HAWKS,1425,315,79,238,34,167
2,22,cunnida01,97,0,214,31,Dante Cunningham,707,15,[<Position.POWER_FORWARD: 'POWER FORWARD'>],106,2,22,24,Team.PORTLAND_TRAIL_BLAZERS,243,48,63,14,54,106
0,1,curryed01,13,0,21,10,Eddy Curry,62,13,[<Position.CENTER: 'CENTER'>],8,0,27,0,Team.NEW_YORK_KNICKS,26,17,7,0,4,9
0,0,curryja01,0,0,0,0,JamesOn Curry,0,0,[<Position.POINT_GUARD: 'POINT GUARD'>],0,0,24,0,Team.LOS_ANGELES_CLIPPERS,0,0,1,0,0,0
380,19,curryst01,252,166,1143,177,Stephen Curry,2896,243,[<Position.POINT_GUARD: 'POINT GUARD'>],528,77,21,152,Team.GOLDEN_STATE_WARRIORS,1399,200,80,472,48,308
0,151,dalemsa01,252,0,523,97,Samuel Dalembert,2124,123,[<Position.CENTER: 'CENTER'>],285,80,28,42,Team.PHILADELPHIA_76ERS,667,133,82,64,239,545
3,77,dampier01,153,1,213,61,Erick Dampier,1280,61,[<Position.CENTER: 'CENTER'>],133,47,34,15,Team.DALLAS_MAVERICKS,328,101,55,31,128,272
28,6,daniema01,91,6,249,34,Marquis Daniels,937,42,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],124,4,29,27,Team.BOSTON_CELTICS,288,56,51,66,27,68
