Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
376,2014,NBA,2,35,UTA,Jarnell Stokes,20.175,F-C,us,Tennessee,2015,2017,28,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.202
377,2015,NBA,1,29,BRK,Chris McCullough,20.145,F,us,Syracuse,2016,2018,59,9,3.3,1.9,0.3,0.5,0.3,0.426,0.47,0.306,0.548,0.6,0.054
378,2015,NBA,2,48,OKC,Dakari Johnson,19.281,C,us,Kentucky,2018,2018,31,5.2,1.8,1.1,0.3,0.2,0.3,0.564,0.564,,0.55,0.6,0.178
379,2008,NBA,1,8,MIL,Joe Alexander,21.188,F,tw,West Virginia,2009,2010,67,11.1,4.2,1.8,0.7,0.2,0.4,0.41,0.426,0.34,0.698,0.5,0.03
380,2010,NBA,2,32,MIA,Dexter Pittman,22.119,C,us,Texas,2011,2014,50,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,,0.545,0.5,0.068
381,2010,NBA,2,43,LAL,Devin Ebanks,20.244,F,us,West Virginia,2011,2013,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
382,2011,NBA,2,44,GSW,Charles Jenkins,22.12,G,us,Hofstra,2012,2013,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
383,2011,NBA,2,52,DET,Vernon Macklin,24.282,F,us,Florida,2012,2012,23,5.9,2,1.5,0.2,0.2,0.2,0.543,0.543,,0.571,0.5,0.161
384,2013,NBA,1,1,CLE,Anthony Bennett,20.11,F,ca,UNLV,2014,2017,151,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,0.5,0.013
385,2015,NBA,2,33,BOS,Jordan Mickey,20.356,F,us,LSU,2016,2018,64,7.5,2.4,2,0.3,0.1,0.4,0.449,0.496,0.118,0.605,0.5,0.05
386,2015,NBA,2,36,MIN,Rakeem Christmas,23.212,F,us,Syracuse,2016,2017,30,7.5,2.1,1.9,0.1,0.1,0.2,0.467,0.467,,0.724,0.5,0.105
387,2016,NBA,2,34,PHO,Tyler Ulis,20.175,G,us,Kentucky,2017,2019,133,20.9,7.5,1.7,4,0.9,0.1,0.403,0.439,0.28,0.808,0.5,0.008
388,2007,NBA,1,29,PHO,Alando Tucker,23.143,F,us,Wisconsin,2008,2010,51,8.4,4.1,1,0.3,0.1,0,0.423,0.453,0.294,0.783,0.4,0.045
389,2007,NBA,2,32,BOS,Gabe Pruitt,21.075,G,us,USC,2008,2009,62,7.4,2,0.8,0.8,0.3,0,0.321,0.35,0.283,0.783,0.4,0.043
390,2011,NBA,2,43,CHI,Malcolm Lee,21.037,G,us,UCLA,2012,2015,36,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04
391,2014,NBA,1,22,MEM,Jordan Adams,19.358,G,us,UCLA,2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07
392,2015,NBA,1,28,BOS,R.J. Hunter,21.249,G,us,Georgia State University,2016,2019,45,8.8,3,1,0.4,0.4,0.1,0.371,0.523,0.295,0.818,0.4,0.051
393,2015,NBA,2,43,IND,Joe Young,23.003,G,us,Oregon,2016,2018,127,8.5,3.4,1,0.9,0.3,0,0.393,0.438,0.296,0.768,0.4,0.016
394,2016,NBA,1,4,PHO,Dragan Bender,18.223,F,ba,,2017,2020,178,20,5.2,3.7,1.2,0.3,0.6,0.396,0.515,0.323,0.647,0.4,0.005
395,2016,NBA,1,13,PHO,Georgios Papagiannis,18.36,C,gr,,2017,2018,39,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0,0.857,0.4,0.044
396,2007,NBA,2,46,GSW,Stéphane Lasme,24.199,F,ga,UMass,2008,2008,16,18.9,5.2,3.3,0.2,0.8,1.4,0.451,0.451,,0.594,0.3,0.041
397,2010,NBA,1,25,MEM,Dominique Jones,21.257,G,us,South Florida,2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017
398,2010,NBA,2,58,LAL,Derrick Caracter,22.056,F,us,Texas-El Paso,2011,2011,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,,0.739,0.3,0.057
399,2011,NBA,2,39,CHA,Jeremy Tyler,20.007,C,us,,2012,2014,104,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0,0.557,0.3,0.014
400,2012,NBA,2,48,NYK,Kostas Papanikolaou,21.338,F,gr,,2015,2016,69,15.8,3.6,2.3,1.5,0.6,0.3,0.354,0.416,0.297,0.688,0.3,0.015
401,2015,NBA,2,38,DET,Darrun Hilliard,22.078,G,us,Villanova,2016,2018,91,9.4,3.2,0.9,0.8,0.2,0,0.377,0.42,0.304,0.747,0.3,0.016
402,2016,NBA,1,18,DET,Henry Ellenson,19.166,F,us,Marquette,2017,2020,81,9.2,4,2.4,0.5,0.2,0,0.372,0.394,0.343,0.774,0.3,0.018
403,2016,NBA,2,52,UTA,Joel Bolomboy,22.152,F,ua,Weber State,2017,2018,18,5.1,1.7,1.5,0.1,0.2,0.1,0.545,0.647,0.2,0.5,0.3,0.132
404,2008,NBA,2,41,IND,Nathan Jawai,21.265,C-F,au,,2009,2010,45,9.6,2.8,2.4,0.5,0.2,0.2,0.435,0.439,0,0.684,0.2,0.02
405,2008,NBA,2,56,SEA,Sasha Kaun,23.055,C,ru,Kansas,2016,2016,25,3.8,0.9,1,0.1,0.2,0.2,0.529,0.529,,0.455,0.2,0.096
406,2009,NBA,1,22,POR,Victor Claver,20.304,F,es,,2013,2015,80,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,0.2,0.011
407,2009,NBA,2,32,WAS,Jermaine Taylor,22.205,G,us,Central Florida,2010,2011,65,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,0.014
408,2009,NBA,2,58,BOS,Lester Hudson,24.328,G,us,University of Tennessee at Martin,2010,2015,57,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,0.016
409,2010,NBA,1,30,WAS,Lazar Hayward,23.216,F,us,Marquette,2011,2013,72,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,0.2,0.02
410,2010,NBA,2,54,LAC,Willie Warren,20.25,G,us,Oklahoma,2011,2011,19,7.1,1.9,0.6,1.4,0.3,0,0.371,0.4,0.333,0.75,0.2,0.065
411,2011,NBA,1,27,NJN,JaJuan Johnson,22.14,F,us,Purdue,2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,,0.667,0.2,0.032
412,2012,NBA,1,24,CLE,Jared Cunningham,21.043,G,us,Oregon State,2013,2016,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,0.2,0.017
413,2012,NBA,2,44,DET,Kim English,23.283,G,us,Missouri,2013,2013,41,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021
414,2012,NBA,2,52,GSW,Ognjen Kuzmi_,22.049,C,ba,,2014,2015,37,4.4,0.9,1,0.2,0.1,0.1,0.52,0.52,,0.6,0.2,0.061
415,2013,NBA,2,37,DET,Tony Mitchell,21.086,F,us,University of North Texas,2014,2014,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151
416,2014,NBA,2,36,MIL,Johnny O'Bryant,21.03,F-C,us,LSU,2015,2018,147,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.663,0.2,0.006
417,2014,NBA,2,43,ATL,Edy Tavares,22.101,C,cv,,2016,2017,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.118
418,2014,NBA,2,51,NYK,Thanasis Antetokounmpo,21.348,F,gr,,2016,2020,17,3.9,2.1,0.5,0.4,0.1,0.1,0.593,0.696,0,0.444,0.2,0.124
419,2016,NBA,2,45,BOS,Demetrius Jackson,21.295,G,us,Notre Dame,2017,2019,26,5.2,1.8,0.7,0.7,0.3,0,0.486,0.609,0.286,0.667,0.2,0.087
420,2016,NBA,2,60,UTA,Tyrone Wallace,22.019,G,us,California,2018,2020,106,15.5,5.2,2.2,1.2,0.5,0.2,0.425,0.463,0.203,0.671,0.2,0.006
421,2007,NBA,1,19,LAL,Javaris Crittenton,19.184,G,us,Georgia Tech,2008,2009,113,16.4,5.3,2.4,1.8,0.5,0.1,0.442,0.466,0.231,0.638,0.1,0.002
422,2007,NBA,2,42,POR,Derrick Byars,23.069,F,us,Vanderbilt,2012,2012,2,18.5,5,5.5,0.5,1,0,0.273,0.6,0,1,0.1,0.147
423,2008,NBA,1,30,BOS,J.R. Giddens,23.139,G,us,New Mexico,2009,2010,38,6.5,1.9,1.4,0.3,0.3,0.1,0.476,0.566,0,0.565,0.1,0.027
424,2010,NBA,2,57,IND,Ryan Reid,23.243,F,us,Florida State,2012,2012,5,3.4,1.6,0.4,0,0,0,0.8,0.8,,,0.1,0.142
425,2011,NBA,2,47,LAC,Travis Leslie,21.091,G,us,Georgia,2012,2012,10,4.5,1.4,0.9,0.5,0.2,0.2,0.357,0.357,,0.444,0.1,0.06
426,2012,NBA,2,42,MIL,Doron Lamb,20.24,G,us,Kentucky,2013,2014,100,12.7,3.5,1,0.8,0.2,0,0.381,0.372,0.394,0.7,0.1,0.005
427,2013,NBA,2,46,UTA,Erick Green,22.055,G,us,Virginia Tech,2015,2016,52,8.7,3.1,0.7,0.8,0.3,0,0.377,0.415,0.288,0.857,0.1,0.011
428,2014,NBA,1,28,LAC,C.J. Wilcox,23.184,G,us,Washington,2015,2017,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.007
429,2014,NBA,2,48,MIL,Lamar Patterson,22.324,G-F,us,Pitt,2016,2017,40,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.236,0.72,0.1,0.006
430,2014,NBA,2,55,MIA,Semaj Christon,21.242,G,us,Xavier,2017,2017,64,15.2,2.9,1.4,2,0.4,0.1,0.345,0.406,0.19,0.548,0.1,0.006
